	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	753	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	754	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	754	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	754	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	755	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	772	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	772	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	773	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	773	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	773	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	773	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	774	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	774	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	774	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	775	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	792	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	792	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	793	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	793	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	793	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	793	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	794	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	794	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	794	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	795	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	812	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	812	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	813	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	813	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	813	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	813	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	814	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	814	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	814	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	815	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	832	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	832	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	833	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	833	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	833	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	833	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	834	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	834	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	834	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	835	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	852	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	852	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	853	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	853	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	853	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	853	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	854	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	854	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	854	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	855	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	872	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	872	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	873	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	873	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	873	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	873	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	874	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	874	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	874	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	875	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	892	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	892	5	1	1	1	1	48	0	0	37.6758 	0	0
